14:58:27.185 Temperature_(C): 20.70, Humidity_(%): 56.80, VOC_(PPM): 174.42, CO2_(PPM): 786.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 1, PM10_(ug/m3): 1
14:58:28.032 Temperature_(C): 20.80, Humidity_(%): 56.60, VOC_(PPM): 303.70, CO2_(PPM): 786.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 1, PM10_(ug/m3): 1
14:58:28.958 Temperature_(C): 20.80, Humidity_(%): 56.60, VOC_(PPM): 170.48, CO2_(PPM): 760.00, PM1.0_(ug/m3): 1, PM2.5_(ug/m3): 1, PM10_(ug/m3): 1
14:58:29.819 Temperature_(C): 20.90, Humidity_(%): 55.50, VOC_(PPM): 187.71, CO2_(PPM): 736.00, PM1.0_(ug/m3): 1, PM2.5_(ug/m3): 1, PM10_(ug/m3): 1
14:58:30.662 Temperature_(C): 20.90, Humidity_(%): 55.50, VOC_(PPM): 159.81, CO2_(PPM): 726.00, PM1.0_(ug/m3): 1, PM2.5_(ug/m3): 1, PM10_(ug/m3): 1
14:58:31.583 Temperature_(C): 20.90, Humidity_(%): 57.10, VOC_(PPM): 181.89, CO2_(PPM): 701.00, PM1.0_(ug/m3): 3, PM2.5_(ug/m3): 3, PM10_(ug/m3): 3
14:58:32.432 Temperature_(C): 20.90, Humidity_(%): 57.10, VOC_(PPM): 158.39, CO2_(PPM): 678.00, PM1.0_(ug/m3): 3, PM2.5_(ug/m3): 3, PM10_(ug/m3): 3
14:58:33.280 Temperature_(C): 20.90, Humidity_(%): 57.10, VOC_(PPM): 173.79, CO2_(PPM): 650.00, PM1.0_(ug/m3): 3, PM2.5_(ug/m3): 3, PM10_(ug/m3): 3
14:58:34.197 Temperature_(C): 20.90, Humidity_(%): 56.80, VOC_(PPM): 285.37, CO2_(PPM): 629.00, PM1.0_(ug/m3): 3, PM2.5_(ug/m3): 3, PM10_(ug/m3): 3
14:58:35.106 Temperature_(C): 20.90, Humidity_(%): 56.80, VOC_(PPM): 158.65, CO2_(PPM): 629.00, PM1.0_(ug/m3): 3, PM2.5_(ug/m3): 3, PM10_(ug/m3): 3
14:58:36.024 Temperature_(C): 20.90, Humidity_(%): 56.80, VOC_(PPM): 297.08, CO2_(PPM): 623.00, PM1.0_(ug/m3): 3, PM2.5_(ug/m3): 5, PM10_(ug/m3): 5
14:58:36.958 Temperature_(C): 20.90, Humidity_(%): 56.80, VOC_(PPM): 151.33, CO2_(PPM): 620.00, PM1.0_(ug/m3): 3, PM2.5_(ug/m3): 5, PM10_(ug/m3): 5
14:58:37.879 Temperature_(C): 20.90, Humidity_(%): 56.40, VOC_(PPM): 469.11, CO2_(PPM): 619.00, PM1.0_(ug/m3): 3, PM2.5_(ug/m3): 6, PM10_(ug/m3): 6
14:58:38.789 Temperature_(C): 20.90, Humidity_(%): 56.40, VOC_(PPM): 141.13, CO2_(PPM): 619.00, PM1.0_(ug/m3): 3, PM2.5_(ug/m3): 6, PM10_(ug/m3): 6
14:58:39.714 Temperature_(C): 20.80, Humidity_(%): 56.30, VOC_(PPM): 163.02, CO2_(PPM): 619.00, PM1.0_(ug/m3): 2, PM2.5_(ug/m3): 6, PM10_(ug/m3): 6
14:58:40.624 Temperature_(C): 20.80, Humidity_(%): 56.30, VOC_(PPM): 141.35, CO2_(PPM): 619.00, PM1.0_(ug/m3): 2, PM2.5_(ug/m3): 8, PM10_(ug/m3): 8
14:58:41.533 Temperature_(C): 20.80, Humidity_(%): 56.30, VOC_(PPM): 159.25, CO2_(PPM): 615.00, PM1.0_(ug/m3): 2, PM2.5_(ug/m3): 8, PM10_(ug/m3): 8
