10:07:19.088 Temperature_(C): 21.40, Humidity_(%): 71.80, VOC_(PPM): 138.27, CO2_(PPM): 424.00, PM1.0_(ug/m3): 9, PM2.5_(ug/m3): 14, PM10_(ug/m3): 22
10:07:19.952 Temperature_(C): 21.40, Humidity_(%): 71.80, VOC_(PPM): 155.44, CO2_(PPM): 422.00, PM1.0_(ug/m3): 9, PM2.5_(ug/m3): 14, PM10_(ug/m3): 22
10:07:20.800 Temperature_(C): 21.30, Humidity_(%): 71.90, VOC_(PPM): 135.06, CO2_(PPM): 420.00, PM1.0_(ug/m3): 9, PM2.5_(ug/m3): 14, PM10_(ug/m3): 22
10:07:21.713 Temperature_(C): 21.30, Humidity_(%): 71.90, VOC_(PPM): 151.95, CO2_(PPM): 418.00, PM1.0_(ug/m3): 8, PM2.5_(ug/m3): 13, PM10_(ug/m3): 23
10:07:22.561 Temperature_(C): 21.20, Humidity_(%): 72.30, VOC_(PPM): 162.58, CO2_(PPM): 416.00, PM1.0_(ug/m3): 8, PM2.5_(ug/m3): 13, PM10_(ug/m3): 23
10:07:23.405 Temperature_(C): 21.20, Humidity_(%): 72.30, VOC_(PPM): 148.26, CO2_(PPM): 415.00, PM1.0_(ug/m3): 8, PM2.5_(ug/m3): 13, PM10_(ug/m3): 23
10:07:24.310 Temperature_(C): 21.20, Humidity_(%): 72.30, VOC_(PPM): 177.90, CO2_(PPM): 415.00, PM1.0_(ug/m3): 7, PM2.5_(ug/m3): 11, PM10_(ug/m3): 18
10:07:25.175 Temperature_(C): 21.20, Humidity_(%): 72.30, VOC_(PPM): 155.30, CO2_(PPM): 414.00, PM1.0_(ug/m3): 7, PM2.5_(ug/m3): 11, PM10_(ug/m3): 18
10:07:26.014 Temperature_(C): 21.20, Humidity_(%): 72.30, VOC_(PPM): 162.58, CO2_(PPM): 412.00, PM1.0_(ug/m3): 7, PM2.5_(ug/m3): 11, PM10_(ug/m3): 18
10:07:26.952 Temperature_(C): 21.20, Humidity_(%): 72.50, VOC_(PPM): 155.12, CO2_(PPM): 411.00, PM1.0_(ug/m3): 6, PM2.5_(ug/m3): 10, PM10_(ug/m3): 14
10:07:27.800 Temperature_(C): 21.20, Humidity_(%): 72.50, VOC_(PPM): 169.92, CO2_(PPM): 410.00, PM1.0_(ug/m3): 6, PM2.5_(ug/m3): 10, PM10_(ug/m3): 14
10:07:28.644 Temperature_(C): 21.20, Humidity_(%): 72.10, VOC_(PPM): 141.62, CO2_(PPM): 410.00, PM1.0_(ug/m3): 6, PM2.5_(ug/m3): 10, PM10_(ug/m3): 14
10:07:29.558 Temperature_(C): 21.20, Humidity_(%): 72.10, VOC_(PPM): 170.31, CO2_(PPM): 410.00, PM1.0_(ug/m3): 5, PM2.5_(ug/m3): 9, PM10_(ug/m3): 13
10:07:30.393 Temperature_(C): 21.20, Humidity_(%): 72.10, VOC_(PPM): 190.30, CO2_(PPM): 410.00, PM1.0_(ug/m3): 5, PM2.5_(ug/m3): 9, PM10_(ug/m3): 13
10:07:31.233 Temperature_(C): 21.20, Humidity_(%): 72.50, VOC_(PPM): 162.39, CO2_(PPM): 410.00, PM1.0_(ug/m3): 5, PM2.5_(ug/m3): 9, PM10_(ug/m3): 13
10:07:32.171 Temperature_(C): 21.20, Humidity_(%): 72.50, VOC_(PPM): 177.70, CO2_(PPM): 410.00, PM1.0_(ug/m3): 4, PM2.5_(ug/m3): 8, PM10_(ug/m3): 12
10:07:33.023 Temperature_(C): 21.10, Humidity_(%): 72.70, VOC_(PPM): 169.89, CO2_(PPM): 410.00, PM1.0_(ug/m3): 4, PM2.5_(ug/m3): 8, PM10_(ug/m3): 12
10:07:33.863 Temperature_(C): 21.10, Humidity_(%): 72.70, VOC_(PPM): 173.75, CO2_(PPM): 410.00, PM1.0_(ug/m3): 4, PM2.5_(ug/m3): 8, PM10_(ug/m3): 12
10:07:34.805 Temperature_(C): 21.20, Humidity_(%): 72.50, VOC_(PPM): 162.39, CO2_(PPM): 410.00, PM1.0_(ug/m3): 4, PM2.5_(ug/m3): 7, PM10_(ug/m3): 11
10:07:35.620 Temperature_(C): 21.20, Humidity_(%): 72.50, VOC_(PPM): 181.68, CO2_(PPM): 410.00, PM1.0_(ug/m3): 4, PM2.5_(ug/m3): 7, PM10_(ug/m3): 11
10:07:36.489 Temperature_(C): 21.20, Humidity_(%): 72.50, VOC_(PPM): 185.74, CO2_(PPM): 410.00, PM1.0_(ug/m3): 4, PM2.5_(ug/m3): 7, PM10_(ug/m3): 11
10:07:37.398 Temperature_(C): 21.10, Humidity_(%): 72.60, VOC_(PPM): 177.77, CO2_(PPM): 410.00, PM1.0_(ug/m3): 3, PM2.5_(ug/m3): 6, PM10_(ug/m3): 8
10:07:38.233 Temperature_(C): 21.10, Humidity_(%): 72.60, VOC_(PPM): 282.00, CO2_(PPM): 410.00, PM1.0_(ug/m3): 3, PM2.5_(ug/m3): 6, PM10_(ug/m3): 8
10:07:39.114 Temperature_(C): 21.10, Humidity_(%): 72.90, VOC_(PPM): 169.70, CO2_(PPM): 410.00, PM1.0_(ug/m3): 3, PM2.5_(ug/m3): 6, PM10_(ug/m3): 8
10:07:40.020 Temperature_(C): 21.10, Humidity_(%): 72.90, VOC_(PPM): 185.49, CO2_(PPM): 410.00, PM1.0_(ug/m3): 4, PM2.5_(ug/m3): 6, PM10_(ug/m3): 8
10:07:40.863 Temperature_(C): 21.10, Humidity_(%): 72.50, VOC_(PPM): 170.09, CO2_(PPM): 410.00, PM1.0_(ug/m3): 4, PM2.5_(ug/m3): 6, PM10_(ug/m3): 8
10:07:41.703 Temperature_(C): 21.10, Humidity_(%): 72.50, VOC_(PPM): 181.87, CO2_(PPM): 410.00, PM1.0_(ug/m3): 4, PM2.5_(ug/m3): 6, PM10_(ug/m3): 8
