08:16:42.634 Temperature_(C): 20.00, Humidity_(%): 81.50, VOC_(PPM): 138.94, CO2_(PPM): 853.00, PM1.0_(ug/m3): 9, PM2.5_(ug/m3): 19, PM10_(ug/m3): 19
08:16:43.576 Temperature_(C): 20.00, Humidity_(%): 81.50, VOC_(PPM): 148.99, CO2_(PPM): 854.00, PM1.0_(ug/m3): 11, PM2.5_(ug/m3): 22, PM10_(ug/m3): 22
08:16:44.412 Temperature_(C): 20.00, Humidity_(%): 81.50, VOC_(PPM): 135.71, CO2_(PPM): 855.00, PM1.0_(ug/m3): 11, PM2.5_(ug/m3): 22, PM10_(ug/m3): 22
08:16:45.255 Temperature_(C): 20.00, Humidity_(%): 81.50, VOC_(PPM): 174.50, CO2_(PPM): 855.00, PM1.0_(ug/m3): 11, PM2.5_(ug/m3): 22, PM10_(ug/m3): 22
08:16:46.174 Temperature_(C): 20.10, Humidity_(%): 81.60, VOC_(PPM): 132.32, CO2_(PPM): 855.00, PM1.0_(ug/m3): 12, PM2.5_(ug/m3): 24, PM10_(ug/m3): 24
08:16:47.050 Temperature_(C): 20.10, Humidity_(%): 81.60, VOC_(PPM): 145.35, CO2_(PPM): 856.00, PM1.0_(ug/m3): 12, PM2.5_(ug/m3): 24, PM10_(ug/m3): 24
08:16:47.869 Temperature_(C): 20.00, Humidity_(%): 81.70, VOC_(PPM): 123.17, CO2_(PPM): 856.00, PM1.0_(ug/m3): 12, PM2.5_(ug/m3): 24, PM10_(ug/m3): 24
08:16:48.782 Temperature_(C): 20.00, Humidity_(%): 81.70, VOC_(PPM): 138.78, CO2_(PPM): 858.00, PM1.0_(ug/m3): 12, PM2.5_(ug/m3): 25, PM10_(ug/m3): 25
08:16:49.663 Temperature_(C): 20.10, Humidity_(%): 81.80, VOC_(PPM): 117.12, CO2_(PPM): 860.00, PM1.0_(ug/m3): 12, PM2.5_(ug/m3): 25, PM10_(ug/m3): 25
08:16:50.482 Temperature_(C): 20.10, Humidity_(%): 81.80, VOC_(PPM): 129.04, CO2_(PPM): 862.00, PM1.0_(ug/m3): 12, PM2.5_(ug/m3): 25, PM10_(ug/m3): 25
