15:36:40.299 Temperature_(C): 22.10, Humidity_(%): 54.20, VOC_(PPM): 477.92, CO2_(PPM): 428.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 0, PM10_(ug/m3): 0
15:36:41.227 Temperature_(C): 22.10, Humidity_(%): 54.20, VOC_(PPM): 504.12, CO2_(PPM): 427.00, PM1.0_(ug/m3): 1, PM2.5_(ug/m3): 1, PM10_(ug/m3): 1
15:36:42.076 Temperature_(C): 22.00, Humidity_(%): 54.20, VOC_(PPM): 487.00, CO2_(PPM): 427.00, PM1.0_(ug/m3): 1, PM2.5_(ug/m3): 1, PM10_(ug/m3): 1
15:36:42.937 Temperature_(C): 22.00, Humidity_(%): 54.20, VOC_(PPM): 495.75, CO2_(PPM): 427.00, PM1.0_(ug/m3): 1, PM2.5_(ug/m3): 1, PM10_(ug/m3): 1
15:36:43.860 Temperature_(C): 22.10, Humidity_(%): 54.10, VOC_(PPM): 461.30, CO2_(PPM): 427.00, PM1.0_(ug/m3): 1, PM2.5_(ug/m3): 1, PM10_(ug/m3): 1
15:36:44.694 Temperature_(C): 22.10, Humidity_(%): 54.10, VOC_(PPM): 495.54, CO2_(PPM): 426.00, PM1.0_(ug/m3): 1, PM2.5_(ug/m3): 1, PM10_(ug/m3): 1
15:36:45.547 Temperature_(C): 22.10, Humidity_(%): 54.20, VOC_(PPM): 436.60, CO2_(PPM): 426.00, PM1.0_(ug/m3): 1, PM2.5_(ug/m3): 1, PM10_(ug/m3): 1
15:36:46.455 Temperature_(C): 22.10, Humidity_(%): 54.20, VOC_(PPM): 469.42, CO2_(PPM): 426.00, PM1.0_(ug/m3): 1, PM2.5_(ug/m3): 1, PM10_(ug/m3): 1
15:36:47.311 Temperature_(C): 22.10, Humidity_(%): 54.20, VOC_(PPM): 477.92, CO2_(PPM): 426.00, PM1.0_(ug/m3): 1, PM2.5_(ug/m3): 1, PM10_(ug/m3): 1
15:36:49.917 Temperature_(C): 22.10, Humidity_(%): 54.20, VOC_(PPM): 452.78, CO2_(PPM): 425.00, PM1.0_(ug/m3): 1, PM2.5_(ug/m3): 1, PM10_(ug/m3): 1
15:36:50.777 Temperature_(C): 22.10, Humidity_(%): 54.20, VOC_(PPM): 461.05, CO2_(PPM): 425.00, PM1.0_(ug/m3): 1, PM2.5_(ug/m3): 1, PM10_(ug/m3): 1

15:37:19.512 Temperature_(C): 22.10, Humidity_(%): 54.50, VOC_(PPM): 412.48, CO2_(PPM): 419.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 1, PM10_(ug/m3): 1
